crop_type,region,demand_tons,supply_tons,avg_quality_score,avg_batch_age_days,market_price_per_kg
wheat,Bangalore,11.3,42.4,0.97,2.8,16.25
wheat,Bangalore,25.7,32.0,0.88,4.2,23.62
wheat,Bangalore,37.5,43.6,0.62,3.8,23.73
tomato,Chennai,15.6,26.2,0.74,5.1,6.58
tomato,Bangalore,14.0,12.7,0.98,3.9,17.05
tomato,Hyderabad,37.6,12.9,0.95,4.9,21.8
onion,Bangalore,24.4,44.5,0.75,6.2,8.34
tomato,Chennai,34.9,29.9,0.63,1.3,17.87
tomato,Hyderabad,32.5,42.0,0.83,6.1,9.53
onion,Chennai,21.3,18.4,0.68,2.8,18.21
tomato,Bangalore,32.7,11.6,0.71,1.2,21.5
onion,Chennai,24.3,39.1,0.72,6.7,12.55
wheat,Hyderabad,22.6,37.5,0.86,6.6,19.26
wheat,Chennai,28.5,44.3,0.84,5.5,15.42
onion,Bangalore,25.4,37.4,0.76,5.4,14.1
wheat,Bangalore,38.5,15.1,0.97,4.4,29.91
onion,Chennai,24.8,21.5,0.85,2.7,17.83
wheat,Hyderabad,13.9,14.5,0.66,2.0,21.2
tomato,Hyderabad,36.2,28.0,0.99,5.2,18.4
wheat,Hyderabad,34.7,22.1,0.74,1.2,31.79
onion,Chennai,20.9,27.6,0.88,1.3,24.19
tomato,Hyderabad,28.8,12.9,0.95,7.4,17.51
tomato,Bangalore,27.9,44.5,0.81,7.5,6.69
onion,Chennai,32.8,28.6,0.89,1.4,24.38
wheat,Hyderabad,10.9,40.4,0.74,3.8,14.74
tomato,Hyderabad,21.3,10.7,0.73,2.5,17.23
tomato,Bangalore,27.8,33.8,0.92,4.5,12.61
wheat,Hyderabad,32.1,29.5,0.83,5.0,19.98
onion,Chennai,17.3,27.4,0.73,7.5,10.26
tomato,Chennai,16.8,22.8,0.8,7.0,10.95
wheat,Hyderabad,34.5,19.0,0.67,5.7,27.13
tomato,Chennai,26.7,30.0,0.71,6.4,10.24
wheat,Bangalore,32.1,28.5,0.88,6.4,20.46
onion,Bangalore,25.2,42.6,0.73,5.2,10.72
tomato,Hyderabad,26.5,17.1,0.87,1.6,15.7
wheat,Bangalore,10.1,14.1,0.79,5.2,20.11
tomato,Chennai,32.4,24.3,0.97,7.9,15.43
onion,Hyderabad,12.0,35.9,0.83,6.9,10.16
onion,Chennai,34.8,16.5,0.69,5.4,21.66
onion,Bangalore,36.3,23.7,0.93,4.1,21.92
onion,Bangalore,32.4,27.6,0.69,7.3,12.51
wheat,Chennai,26.3,41.7,0.85,1.8,20.55
onion,Hyderabad,36.4,27.3,0.9,5.0,22.41
tomato,Chennai,32.6,34.7,0.91,2.0,17.73
tomato,Hyderabad,32.6,13.6,0.81,3.7,19.06
tomato,Hyderabad,33.9,15.2,0.69,6.1,19.85
wheat,Chennai,17.6,22.1,0.67,7.4,20.7
onion,Chennai,22.0,26.2,0.98,2.1,20.53
tomato,Bangalore,10.5,40.5,0.97,5.0,11.37
tomato,Bangalore,31.2,15.3,0.83,5.2,21.94
tomato,Chennai,37.3,14.3,0.69,2.2,21.52
onion,Hyderabad,37.6,40.4,0.81,5.1,15.91
tomato,Chennai,34.1,10.2,0.73,3.8,21.48
tomato,Chennai,37.6,22.1,0.74,6.2,14.34
wheat,Hyderabad,17.4,30.2,0.67,1.2,19.85
tomato,Bangalore,33.4,19.7,0.69,2.5,20.34
tomato,Bangalore,26.7,40.1,0.81,2.3,12.26
wheat,Bangalore,19.3,23.9,0.77,6.6,18.27
tomato,Bangalore,21.3,39.3,0.83,3.1,6.13
wheat,Hyderabad,25.8,28.7,0.79,4.5,20.8
tomato,Hyderabad,38.4,23.1,0.71,5.5,18.12
tomato,Hyderabad,39.4,39.4,0.95,3.9,12.54
wheat,Hyderabad,25.2,30.8,0.74,5.0,20.61
wheat,Bangalore,26.7,35.2,0.92,7.9,20.34
tomato,Chennai,16.1,20.3,0.96,1.1,17.69
wheat,Bangalore,16.2,10.9,0.67,5.1,24.61
wheat,Bangalore,20.3,19.1,0.75,5.1,21.59
tomato,Bangalore,22.3,29.3,0.77,3.1,15.23
tomato,Chennai,10.7,19.4,0.82,5.4,11.07
wheat,Bangalore,14.2,39.2,0.99,4.7,14.83
wheat,Chennai,37.4,14.1,0.83,2.9,29.28
tomato,Bangalore,29.5,39.0,0.68,1.1,14.1
tomato,Bangalore,24.8,30.1,0.94,3.8,16.14
onion,Chennai,22.7,22.4,0.98,2.3,21.65
tomato,Bangalore,35.1,25.3,0.97,6.1,16.65
wheat,Chennai,24.3,33.2,0.97,6.1,20.68
wheat,Bangalore,24.9,30.9,0.73,6.4,15.65
tomato,Bangalore,12.3,35.5,0.8,5.8,5.0
wheat,Chennai,34.0,34.3,0.71,5.1,20.45
wheat,Bangalore,12.7,42.1,0.65,7.7,7.56
onion,Hyderabad,32.0,38.2,0.86,5.8,15.37
onion,Bangalore,37.1,32.6,0.88,1.4,22.09
wheat,Bangalore,15.4,29.9,0.97,1.2,21.9
tomato,Hyderabad,18.9,42.4,0.99,7.6,8.27
wheat,Hyderabad,19.6,39.0,0.61,5.2,14.76
wheat,Bangalore,12.3,34.4,0.74,6.1,13.76
tomato,Bangalore,29.8,35.8,0.81,4.0,12.19
onion,Chennai,10.7,40.5,0.61,7.1,7.66
wheat,Hyderabad,39.9,22.3,0.91,3.8,28.98
tomato,Bangalore,27.4,19.5,0.76,1.6,19.39
tomato,Chennai,10.1,26.4,0.72,7.0,5.0
onion,Chennai,27.7,19.7,0.96,1.3,23.83
wheat,Chennai,33.9,19.1,0.84,7.9,22.61
wheat,Chennai,28.0,41.6,1.0,6.2,17.83
tomato,Hyderabad,16.9,39.1,0.65,1.3,8.06
tomato,Chennai,11.1,43.5,0.93,6.6,5.0
tomato,Hyderabad,27.9,28.4,0.7,4.6,14.74
onion,Chennai,39.9,41.4,0.79,5.4,12.68
wheat,Bangalore,36.7,43.4,0.94,6.7,17.74
tomato,Bangalore,32.1,19.8,0.7,1.0,19.77
onion,Chennai,38.9,13.8,0.96,7.9,24.31
onion,Bangalore,24.4,30.7,0.93,3.4,19.5
tomato,Bangalore,36.4,37.9,0.86,7.0,16.05
wheat,Bangalore,20.0,18.4,0.97,1.7,24.28
tomato,Hyderabad,38.8,26.3,0.95,1.0,23.03
wheat,Bangalore,32.3,15.6,0.93,6.8,25.86
tomato,Chennai,19.8,29.6,0.65,3.6,11.23
tomato,Hyderabad,13.9,19.9,0.61,4.0,11.1
wheat,Chennai,32.6,37.6,0.67,6.4,20.82
wheat,Bangalore,33.1,34.8,0.79,1.4,28.35
tomato,Hyderabad,12.0,38.8,0.75,6.7,5.0
wheat,Chennai,10.0,15.6,0.79,7.6,20.77
wheat,Chennai,33.2,18.1,0.65,7.1,24.21
onion,Bangalore,38.3,24.7,0.86,3.8,25.19
wheat,Chennai,16.4,11.1,0.86,3.6,24.68
wheat,Hyderabad,39.0,16.5,0.95,6.4,29.64
wheat,Hyderabad,33.9,20.3,0.96,7.8,25.75
onion,Hyderabad,24.4,14.1,0.65,5.8,16.85
tomato,Hyderabad,29.5,21.4,0.84,4.0,16.8
tomato,Bangalore,10.3,12.5,0.76,4.4,10.43
tomato,Bangalore,35.8,37.3,0.62,4.4,14.48
tomato,Bangalore,13.1,30.0,0.61,4.4,7.05
onion,Bangalore,25.5,13.1,0.74,1.2,22.1
onion,Chennai,19.7,44.2,0.68,5.9,9.94
tomato,Hyderabad,36.9,30.8,0.85,5.3,16.13
tomato,Chennai,38.1,43.2,0.85,6.5,10.91
wheat,Chennai,34.5,25.8,0.86,4.7,30.03
onion,Chennai,12.4,12.1,0.7,2.1,19.16
wheat,Chennai,20.1,16.4,0.92,5.6,24.17
wheat,Chennai,10.6,32.9,0.73,4.8,13.4
wheat,Hyderabad,16.6,24.6,0.68,6.9,17.35
tomato,Chennai,38.8,24.6,0.94,5.4,20.54
onion,Bangalore,25.4,30.6,0.61,3.8,17.84
onion,Hyderabad,37.0,24.8,0.71,5.1,23.98
wheat,Bangalore,13.9,35.1,0.96,2.3,21.6
onion,Chennai,25.4,24.5,0.63,4.1,17.59
onion,Hyderabad,20.8,30.8,0.67,3.7,13.51
tomato,Chennai,35.7,10.3,0.84,5.2,18.87
wheat,Hyderabad,36.5,25.5,0.73,4.1,24.49
onion,Bangalore,22.9,18.7,0.85,5.9,18.09
tomato,Hyderabad,32.1,33.2,0.79,6.9,11.37
wheat,Hyderabad,26.7,28.9,0.61,7.9,17.27
onion,Bangalore,29.2,17.9,0.67,1.6,22.43
tomato,Bangalore,27.5,34.1,0.76,4.4,9.21
wheat,Chennai,20.3,28.6,0.65,1.9,22.06
onion,Chennai,32.0,15.7,0.68,6.1,20.33
wheat,Chennai,17.7,33.2,0.99,3.6,18.42
onion,Chennai,17.3,39.1,0.95,6.4,11.64
tomato,Bangalore,16.5,33.1,0.76,5.6,7.8
onion,Chennai,29.7,45.0,0.62,7.8,12.08
tomato,Bangalore,27.0,35.8,0.95,3.8,12.69
onion,Chennai,23.1,41.5,0.95,3.2,14.17
onion,Chennai,29.5,21.5,0.85,5.3,22.39
wheat,Bangalore,21.4,29.2,0.84,4.8,19.43
wheat,Hyderabad,15.1,32.5,0.9,4.5,17.72
tomato,Chennai,38.5,39.7,0.97,6.7,10.04
wheat,Hyderabad,32.9,38.5,0.89,7.7,19.06
tomato,Bangalore,15.9,10.3,0.86,7.3,14.42
wheat,Bangalore,24.4,16.8,0.67,5.3,23.09
tomato,Chennai,19.2,38.1,0.82,3.2,12.91
tomato,Bangalore,22.4,14.3,0.67,5.8,16.61
onion,Hyderabad,25.8,34.8,0.64,5.0,17.16
tomato,Bangalore,29.0,43.3,0.84,6.7,8.41
onion,Bangalore,33.8,32.6,0.67,3.5,19.11
tomato,Chennai,17.7,20.6,0.89,7.0,12.65
wheat,Chennai,34.3,36.8,0.66,4.0,20.33
onion,Bangalore,16.5,13.4,0.61,5.5,16.24
wheat,Hyderabad,17.0,23.7,0.84,4.5,19.02
onion,Bangalore,31.5,34.2,1.0,1.9,24.13
wheat,Chennai,20.1,41.7,0.91,2.9,20.16
tomato,Bangalore,16.8,22.4,0.63,4.6,15.0
onion,Bangalore,12.1,32.4,0.71,5.1,9.05
onion,Hyderabad,15.7,11.8,0.75,3.5,21.51
wheat,Chennai,23.4,21.7,0.83,1.6,25.63
wheat,Bangalore,15.1,24.3,0.77,6.8,18.4
tomato,Hyderabad,37.8,18.2,0.76,2.1,24.41
tomato,Chennai,17.7,37.6,0.95,5.3,8.99
onion,Chennai,11.9,14.1,0.69,3.4,14.89
tomato,Bangalore,25.3,38.9,0.71,7.6,5.0
onion,Hyderabad,14.9,37.5,0.83,5.0,11.46
tomato,Chennai,26.2,32.0,0.87,4.7,7.96
onion,Chennai,14.2,17.4,0.93,3.3,20.63
onion,Bangalore,24.4,21.0,0.84,2.0,21.94
onion,Chennai,15.2,27.6,0.76,2.0,15.21
onion,Bangalore,17.0,12.8,0.91,1.9,22.06
tomato,Hyderabad,25.2,25.4,0.64,5.5,13.69
wheat,Hyderabad,21.6,29.8,0.68,2.5,18.26
onion,Hyderabad,32.6,31.7,0.72,4.0,17.17
wheat,Bangalore,25.3,44.9,0.93,5.3,18.34
tomato,Chennai,22.8,14.6,0.95,4.1,17.06
onion,Chennai,15.3,23.5,0.99,2.7,16.11
onion,Hyderabad,22.6,37.7,0.83,5.8,13.97
tomato,Bangalore,35.0,32.0,0.68,1.5,14.63
tomato,Hyderabad,18.0,32.6,0.8,2.9,10.54
onion,Hyderabad,21.3,23.8,0.78,6.5,17.06
tomato,Bangalore,38.7,37.5,0.73,5.8,10.04
onion,Chennai,11.2,41.6,0.78,5.5,7.6
onion,Hyderabad,23.5,17.9,0.96,4.2,21.22
tomato,Bangalore,32.4,33.1,0.92,1.7,17.65
tomato,Bangalore,25.3,23.6,0.78,7.9,10.84
onion,Bangalore,26.5,39.1,0.63,4.0,16.4
wheat,Bangalore,18.9,36.9,0.85,3.7,17.3
onion,Chennai,12.1,43.6,0.79,7.3,6.17
onion,Bangalore,13.8,26.6,0.65,4.4,13.78
onion,Hyderabad,11.3,13.9,0.84,1.7,21.79
wheat,Chennai,23.2,31.5,0.98,2.7,21.99
onion,Bangalore,29.4,20.0,0.93,7.0,19.39
tomato,Bangalore,26.3,32.3,0.69,7.8,10.01
wheat,Hyderabad,19.6,36.4,0.71,4.8,19.8
tomato,Chennai,13.2,34.0,0.64,7.8,5.0
tomato,Chennai,26.3,30.7,0.8,3.1,14.16
wheat,Hyderabad,30.7,40.6,0.85,6.3,18.02
tomato,Bangalore,36.4,19.7,0.68,7.2,14.11
onion,Hyderabad,19.3,36.0,0.93,5.3,11.54
tomato,Chennai,35.4,39.4,0.93,1.1,19.72
tomato,Chennai,32.8,33.7,0.9,6.9,13.27
onion,Hyderabad,23.5,35.3,0.95,5.2,8.56
tomato,Chennai,22.4,34.3,0.6,5.3,11.28
tomato,Hyderabad,36.2,27.9,0.89,1.7,18.52
onion,Hyderabad,31.1,11.8,0.79,5.2,22.97
wheat,Bangalore,29.1,15.2,0.88,6.2,25.79
onion,Chennai,16.3,38.9,0.81,3.6,13.1
tomato,Chennai,21.1,12.2,0.92,6.4,15.16
tomato,Chennai,29.3,24.7,0.85,6.5,14.03
onion,Hyderabad,32.2,43.3,0.68,5.0,12.08
onion,Chennai,15.0,34.5,0.83,5.1,13.11
wheat,Bangalore,11.7,39.8,0.69,3.6,14.38
tomato,Bangalore,23.1,42.8,0.88,5.4,8.43
onion,Bangalore,14.8,31.4,0.65,6.3,11.43
tomato,Bangalore,12.1,12.0,0.71,2.8,15.94
onion,Chennai,22.9,39.6,0.71,2.1,14.32
wheat,Chennai,37.2,14.9,0.81,3.9,31.15
onion,Hyderabad,38.9,29.6,0.97,1.4,24.18
onion,Bangalore,24.8,44.3,0.66,6.1,9.34
wheat,Bangalore,38.4,43.9,0.67,1.2,20.55
tomato,Hyderabad,17.5,39.8,0.82,4.7,7.15
onion,Bangalore,26.3,12.9,0.78,4.4,22.72
tomato,Bangalore,38.4,39.7,0.87,4.2,18.14
onion,Hyderabad,25.4,38.2,0.78,1.4,14.89
wheat,Bangalore,16.0,19.1,0.67,3.3,21.89
tomato,Hyderabad,36.4,40.5,0.7,4.2,16.07
onion,Chennai,26.7,29.3,0.64,3.4,16.0
wheat,Chennai,21.2,25.8,0.76,1.7,20.0
tomato,Hyderabad,15.9,16.5,0.64,3.5,12.41
wheat,Bangalore,21.9,42.0,0.81,2.1,20.22
onion,Chennai,19.5,40.0,0.96,2.9,13.38
tomato,Hyderabad,19.4,38.0,0.99,7.0,6.93
tomato,Hyderabad,25.2,43.8,0.77,7.9,8.18
onion,Chennai,22.8,15.7,0.61,4.9,21.9
tomato,Bangalore,34.7,17.3,0.75,7.8,14.15
onion,Chennai,13.3,36.6,1.0,7.3,8.33
tomato,Bangalore,17.6,38.7,0.95,4.7,7.94
onion,Chennai,31.6,24.7,0.96,6.2,19.49
onion,Chennai,28.4,25.2,0.83,6.2,19.06
wheat,Hyderabad,10.9,35.9,0.64,3.2,15.77
wheat,Hyderabad,15.0,32.9,1.0,1.5,20.15
onion,Bangalore,16.5,22.6,0.63,6.3,12.86
tomato,Chennai,32.8,41.6,0.69,6.7,11.1
wheat,Hyderabad,15.1,23.6,0.75,2.6,21.76
tomato,Chennai,21.4,44.2,0.64,4.0,6.62
tomato,Hyderabad,39.2,38.9,0.88,6.9,13.9
tomato,Hyderabad,28.6,29.6,0.85,4.7,12.69
onion,Bangalore,26.2,13.4,0.7,1.1,28.55
tomato,Chennai,28.0,20.4,0.72,6.2,15.68
onion,Chennai,36.8,16.5,0.63,2.7,26.73
tomato,Chennai,22.9,19.4,0.92,5.0,13.28
tomato,Hyderabad,24.7,35.8,0.81,1.2,15.3
wheat,Bangalore,11.9,43.5,0.61,5.9,8.48
wheat,Chennai,14.9,16.0,0.98,4.1,23.25
tomato,Bangalore,29.2,33.7,0.65,2.6,11.87
wheat,Hyderabad,39.5,19.4,0.76,7.2,24.15
onion,Bangalore,11.2,31.1,0.96,2.7,9.85
tomato,Bangalore,28.7,26.4,0.78,4.3,12.02
tomato,Bangalore,26.1,39.9,0.62,6.8,6.35
wheat,Bangalore,23.2,17.6,0.76,1.3,27.91
tomato,Bangalore,34.5,20.0,0.93,4.7,19.74
wheat,Bangalore,30.3,11.6,0.78,7.5,27.47
tomato,Bangalore,21.7,35.5,0.95,5.7,11.89
tomato,Bangalore,31.6,43.4,0.89,7.0,7.02
onion,Hyderabad,31.5,39.0,0.62,7.1,14.6
tomato,Hyderabad,29.9,13.2,0.84,4.8,16.94
tomato,Bangalore,22.1,21.2,0.9,3.9,18.42
wheat,Hyderabad,28.0,27.6,0.66,1.8,26.45
wheat,Hyderabad,31.7,14.2,0.96,1.5,28.76
tomato,Bangalore,22.7,20.3,0.79,5.0,14.85
onion,Bangalore,13.7,29.6,0.74,6.1,13.92
onion,Hyderabad,22.9,33.6,0.71,3.1,16.6
onion,Chennai,23.4,37.9,0.93,7.0,12.54
wheat,Chennai,21.1,11.0,0.76,4.7,26.66
onion,Bangalore,29.4,11.6,0.9,7.6,22.32
onion,Hyderabad,20.2,12.5,0.76,3.2,17.32
onion,Bangalore,25.9,39.5,0.83,4.9,14.26
tomato,Chennai,11.2,11.1,0.76,2.1,16.9
onion,Chennai,32.7,26.0,0.72,7.3,19.04
onion,Bangalore,39.5,20.1,0.98,3.7,25.29
tomato,Chennai,26.2,15.4,0.82,4.8,18.83
wheat,Hyderabad,19.1,19.1,0.68,1.4,25.14
onion,Hyderabad,18.1,43.8,0.82,3.4,9.53
wheat,Bangalore,28.8,27.1,0.76,8.0,20.38
onion,Chennai,27.1,31.7,0.68,3.8,16.82
onion,Hyderabad,14.0,30.8,0.84,3.5,13.29
wheat,Chennai,13.9,37.7,0.65,6.6,13.97
onion,Bangalore,38.5,28.0,0.64,6.3,18.42
onion,Hyderabad,19.1,27.2,0.81,4.9,19.83
tomato,Hyderabad,27.3,40.3,0.99,3.9,9.86
wheat,Hyderabad,32.9,30.1,0.98,2.4,28.36
wheat,Hyderabad,36.5,25.7,0.8,5.4,24.55
wheat,Hyderabad,10.6,26.7,0.88,6.1,15.22
onion,Bangalore,20.8,38.2,0.71,2.5,15.09
tomato,Chennai,10.3,44.9,0.87,6.8,5.0
tomato,Hyderabad,14.3,36.4,0.91,5.6,8.56
wheat,Bangalore,35.4,31.5,0.64,4.4,22.33
onion,Hyderabad,12.0,22.2,0.64,6.7,11.18
tomato,Chennai,10.2,13.5,0.95,5.8,12.99
onion,Chennai,31.3,33.3,0.68,7.0,11.82
wheat,Hyderabad,37.9,24.2,0.96,3.3,25.4
tomato,Chennai,39.4,31.1,0.74,5.5,15.44
onion,Hyderabad,36.7,27.6,0.78,5.1,19.22
onion,Chennai,23.9,18.2,0.72,3.0,21.19
onion,Hyderabad,13.6,42.1,0.89,3.8,12.05
tomato,Bangalore,19.5,10.0,0.8,1.3,21.45
onion,Chennai,36.9,30.4,0.79,3.4,21.52
onion,Chennai,36.8,25.2,0.96,3.6,21.44
wheat,Bangalore,13.5,11.5,0.83,7.5,21.67
wheat,Hyderabad,17.6,40.6,0.67,2.9,17.78
wheat,Bangalore,30.3,43.0,0.71,4.3,18.15
wheat,Bangalore,24.3,13.9,0.85,6.4,22.38
tomato,Hyderabad,33.0,24.6,0.93,7.0,16.99
wheat,Chennai,36.4,17.6,0.87,5.3,25.6
onion,Bangalore,14.1,32.8,0.9,3.2,12.01
onion,Chennai,27.4,13.0,0.62,5.7,23.97
tomato,Chennai,33.5,29.0,0.64,5.8,14.3
onion,Chennai,31.3,43.2,0.61,6.2,12.01
onion,Bangalore,37.2,19.3,0.89,7.1,21.96
tomato,Hyderabad,33.2,37.1,0.81,7.8,9.66
wheat,Chennai,10.5,37.0,0.92,1.8,19.29
onion,Hyderabad,20.4,23.0,0.6,3.1,16.07
tomato,Hyderabad,36.4,33.6,0.82,6.8,10.38
tomato,Chennai,14.6,41.5,0.88,7.6,5.96
onion,Bangalore,32.4,26.6,0.62,7.7,16.57
wheat,Chennai,21.0,17.9,0.68,2.0,25.07
onion,Bangalore,33.4,30.2,0.66,6.7,14.17
wheat,Hyderabad,34.3,43.2,0.73,6.1,21.25
tomato,Hyderabad,11.8,34.1,0.88,7.5,5.0
onion,Bangalore,38.7,28.5,0.7,4.5,20.81
tomato,Chennai,12.3,19.6,0.92,4.2,8.74
onion,Hyderabad,15.0,25.6,0.68,1.3,20.1
tomato,Bangalore,39.4,37.8,0.94,2.7,14.0
tomato,Chennai,27.8,12.6,0.85,7.9,17.5
wheat,Bangalore,37.2,43.0,0.98,4.7,21.48
wheat,Chennai,29.2,33.3,0.67,5.0,17.51
onion,Bangalore,25.0,10.4,0.6,3.5,19.88
onion,Hyderabad,31.9,13.3,0.77,1.2,27.63
wheat,Bangalore,10.0,41.5,0.66,7.9,9.35
tomato,Bangalore,24.4,32.2,0.64,1.2,14.93
wheat,Bangalore,23.3,19.6,0.85,7.9,23.53
onion,Bangalore,17.2,16.7,0.97,1.7,17.95
onion,Hyderabad,16.6,11.4,0.61,2.2,19.87
tomato,Bangalore,31.6,29.7,0.77,3.3,17.13
wheat,Hyderabad,14.3,25.1,0.96,6.9,21.05
wheat,Chennai,36.7,29.1,0.68,2.8,24.27
wheat,Hyderabad,11.0,32.3,0.75,3.1,16.62
wheat,Hyderabad,35.1,21.6,0.88,6.4,27.45
onion,Hyderabad,25.5,26.2,0.62,3.0,17.93
tomato,Chennai,26.0,30.7,0.62,3.5,14.04
tomato,Chennai,16.0,17.1,0.6,4.1,12.05
wheat,Hyderabad,29.2,24.6,0.9,5.3,21.87
onion,Chennai,34.5,18.8,0.71,1.9,21.9
onion,Bangalore,26.3,15.2,0.75,3.9,20.98
onion,Chennai,10.6,19.4,0.81,2.9,16.45
tomato,Hyderabad,31.4,36.6,0.64,4.6,16.43
tomato,Hyderabad,21.1,42.7,0.93,5.9,6.97
tomato,Hyderabad,30.8,35.5,0.94,2.9,18.72
wheat,Bangalore,15.9,22.1,0.73,7.8,18.34
wheat,Bangalore,38.4,27.4,0.75,2.1,28.87
onion,Bangalore,10.8,39.4,0.6,5.9,7.38
wheat,Bangalore,34.5,29.1,0.99,1.4,28.56
tomato,Bangalore,31.6,40.2,0.67,6.6,5.05
wheat,Hyderabad,36.0,15.5,0.72,3.0,31.45
onion,Hyderabad,25.0,12.5,0.73,7.5,16.59
tomato,Bangalore,10.6,23.7,0.68,3.9,11.59
onion,Bangalore,22.9,40.7,0.84,2.7,13.38
tomato,Hyderabad,30.3,12.5,0.68,3.7,19.23
tomato,Bangalore,33.5,35.7,0.65,6.5,12.21
tomato,Chennai,38.2,42.0,0.6,4.2,15.04
onion,Bangalore,13.1,29.2,0.99,4.9,15.1
tomato,Hyderabad,25.6,12.6,0.84,4.6,15.88
wheat,Chennai,18.6,33.0,0.99,5.2,18.47
onion,Hyderabad,28.7,32.7,0.71,1.1,19.73
wheat,Chennai,17.5,33.7,0.88,5.3,15.19
onion,Bangalore,15.2,14.1,0.78,5.3,16.15
wheat,Chennai,38.2,10.2,0.91,5.4,29.73
tomato,Bangalore,21.6,42.8,0.82,7.6,5.4
onion,Bangalore,35.2,16.6,0.87,7.8,19.99
wheat,Bangalore,37.4,25.2,0.7,4.0,25.58
tomato,Hyderabad,10.3,30.6,0.85,5.5,9.41
wheat,Bangalore,34.6,11.8,0.96,1.2,30.92
