date,crop_type,region,demand_tons
2025-04-05,tomato,Bangalore,16.8
2025-04-06,tomato,Bangalore,13.6
2025-04-07,tomato,Bangalore,18.9
2025-04-08,tomato,Bangalore,18.8
2025-04-09,tomato,Bangalore,18.0
2025-04-10,tomato,Bangalore,17.3
2025-04-11,tomato,Bangalore,13.8
2025-04-12,tomato,Bangalore,16.7
2025-04-13,tomato,Bangalore,17.0
2025-04-14,tomato,Bangalore,15.6
2025-04-15,tomato,Bangalore,17.5
2025-04-16,tomato,Bangalore,19.2
2025-04-17,tomato,Bangalore,23.7
2025-04-18,tomato,Bangalore,18.5
2025-04-19,tomato,Bangalore,18.8
2025-04-20,tomato,Bangalore,17.8
2025-04-21,tomato,Bangalore,12.2
2025-04-22,tomato,Bangalore,17.9
2025-04-23,tomato,Bangalore,18.2
2025-04-24,tomato,Bangalore,25.4
2025-04-25,tomato,Bangalore,17.4
2025-04-26,tomato,Bangalore,18.9
2025-04-27,tomato,Bangalore,17.9
2025-04-28,tomato,Bangalore,14.5
2025-04-29,tomato,Bangalore,21.4
2025-04-30,tomato,Bangalore,20.3
2025-05-01,tomato,Bangalore,20.4
2025-05-02,tomato,Bangalore,15.3
2025-05-03,tomato,Bangalore,22.2
2025-05-04,tomato,Bangalore,13.8
2025-05-05,tomato,Bangalore,19.8
2025-05-06,tomato,Bangalore,24.6
2025-05-07,tomato,Bangalore,15.0
2025-05-08,tomato,Bangalore,16.3
2025-05-09,tomato,Bangalore,18.3
2025-05-10,tomato,Bangalore,16.5
2025-05-11,tomato,Bangalore,13.3
2025-05-12,tomato,Bangalore,18.2
2025-05-13,tomato,Bangalore,14.8
2025-05-14,tomato,Bangalore,19.4
2025-05-15,tomato,Bangalore,15.2
2025-05-16,tomato,Bangalore,22.6
2025-05-17,tomato,Bangalore,15.7
2025-05-18,tomato,Bangalore,17.0
2025-05-19,tomato,Bangalore,20.4
2025-05-20,tomato,Bangalore,14.3
2025-05-21,tomato,Bangalore,18.7
2025-05-22,tomato,Bangalore,21.9
2025-05-23,tomato,Bangalore,13.2
2025-05-24,tomato,Bangalore,18.6
2025-05-25,tomato,Bangalore,18.8
2025-05-26,tomato,Bangalore,20.3
2025-05-27,tomato,Bangalore,14.3
2025-05-28,tomato,Bangalore,14.0
2025-05-29,tomato,Bangalore,19.6
2025-05-30,tomato,Bangalore,18.9
2025-05-31,tomato,Bangalore,18.8
2025-06-01,tomato,Bangalore,22.6
2025-06-02,tomato,Bangalore,19.6
2025-06-03,tomato,Bangalore,22.3
2025-06-04,tomato,Bangalore,22.5
2025-06-05,tomato,Bangalore,19.5
2025-06-06,tomato,Bangalore,27.2
2025-06-07,tomato,Bangalore,23.0
2025-06-08,tomato,Bangalore,18.0
2025-06-09,tomato,Bangalore,23.6
2025-06-10,tomato,Bangalore,18.7
2025-06-11,tomato,Bangalore,24.0
2025-06-12,tomato,Bangalore,25.1
2025-06-13,tomato,Bangalore,19.1
2025-06-14,tomato,Bangalore,24.5
2025-06-15,tomato,Bangalore,22.8
2025-06-16,tomato,Bangalore,24.1
2025-06-17,tomato,Bangalore,27.3
2025-06-18,tomato,Bangalore,20.9
2025-06-19,tomato,Bangalore,19.3
2025-06-20,tomato,Bangalore,18.9
2025-06-21,tomato,Bangalore,19.2
2025-06-22,tomato,Bangalore,21.4
2025-06-23,tomato,Bangalore,22.6
2025-06-24,tomato,Bangalore,22.4
2025-06-25,tomato,Bangalore,24.1
2025-06-26,tomato,Bangalore,21.6
2025-06-27,tomato,Bangalore,26.0
2025-06-28,tomato,Bangalore,20.8
2025-06-29,tomato,Bangalore,29.8
2025-06-30,tomato,Bangalore,23.5
2025-07-01,tomato,Bangalore,19.0
2025-07-02,tomato,Bangalore,18.4
2025-07-03,tomato,Bangalore,23.0
2025-07-04,tomato,Bangalore,20.9
2025-07-05,tomato,Bangalore,23.7
2025-07-06,tomato,Bangalore,23.0
2025-07-07,tomato,Bangalore,21.4
2025-07-08,tomato,Bangalore,19.1
2025-07-09,tomato,Bangalore,17.1
2025-07-10,tomato,Bangalore,20.3
2025-07-11,tomato,Bangalore,24.2
2025-07-12,tomato,Bangalore,22.2
2025-07-13,tomato,Bangalore,17.9
2025-07-14,tomato,Bangalore,22.1
2025-07-15,tomato,Bangalore,22.8
2025-07-16,tomato,Bangalore,18.9
2025-07-17,tomato,Bangalore,22.1
2025-07-18,tomato,Bangalore,21.8
2025-07-19,tomato,Bangalore,18.2
2025-07-20,tomato,Bangalore,22.7
2025-07-21,tomato,Bangalore,23.3
2025-07-22,tomato,Bangalore,24.8
2025-07-23,tomato,Bangalore,24.8
2025-07-24,tomato,Bangalore,17.5
2025-07-25,tomato,Bangalore,18.8
2025-07-26,tomato,Bangalore,23.1
2025-07-27,tomato,Bangalore,23.1
2025-07-28,tomato,Bangalore,23.1
2025-07-29,tomato,Bangalore,33.2
2025-07-30,tomato,Bangalore,23.3
2025-07-31,tomato,Bangalore,25.0
2025-08-01,tomato,Bangalore,24.5
2025-08-02,tomato,Bangalore,23.6
2025-08-03,tomato,Bangalore,20.7
2025-08-04,tomato,Bangalore,23.9
2025-08-05,tomato,Bangalore,19.3
2025-08-06,tomato,Bangalore,20.9
2025-08-07,tomato,Bangalore,20.1
2025-08-08,tomato,Bangalore,21.8
2025-08-09,tomato,Bangalore,28.5
2025-08-10,tomato,Bangalore,16.0
2025-08-11,tomato,Bangalore,23.7
2025-08-12,tomato,Bangalore,16.8
2025-08-13,tomato,Bangalore,20.2
2025-08-14,tomato,Bangalore,24.9
2025-08-15,tomato,Bangalore,21.8
2025-08-16,tomato,Bangalore,18.4
2025-08-17,tomato,Bangalore,19.5
2025-08-18,tomato,Bangalore,23.6
2025-08-19,tomato,Bangalore,19.4
2025-08-20,tomato,Bangalore,22.2
2025-08-21,tomato,Bangalore,21.7
2025-08-22,tomato,Bangalore,19.6
2025-08-23,tomato,Bangalore,28.0
2025-08-24,tomato,Bangalore,23.5
2025-08-25,tomato,Bangalore,15.5
2025-08-26,tomato,Bangalore,22.2
2025-08-27,tomato,Bangalore,19.6
2025-08-28,tomato,Bangalore,24.2
2025-08-29,tomato,Bangalore,19.2
2025-08-30,tomato,Bangalore,21.3
2025-08-31,tomato,Bangalore,23.1
2025-09-01,tomato,Bangalore,20.6
2025-09-02,tomato,Bangalore,14.4
2025-09-03,tomato,Bangalore,17.0
2025-09-04,tomato,Bangalore,16.6
2025-09-05,tomato,Bangalore,16.0
2025-09-06,tomato,Bangalore,23.3
2025-09-07,tomato,Bangalore,19.2
2025-09-08,tomato,Bangalore,14.2
2025-09-09,tomato,Bangalore,20.8
2025-09-10,tomato,Bangalore,24.4
2025-09-11,tomato,Bangalore,21.1
2025-09-12,tomato,Bangalore,13.4
2025-09-13,tomato,Bangalore,16.5
2025-09-14,tomato,Bangalore,21.8
2025-09-15,tomato,Bangalore,15.9
2025-09-16,tomato,Bangalore,19.3
2025-09-17,tomato,Bangalore,20.3
2025-09-18,tomato,Bangalore,15.2
2025-09-19,tomato,Bangalore,17.8
2025-09-20,tomato,Bangalore,8.3
2025-09-21,tomato,Bangalore,14.9
2025-09-22,tomato,Bangalore,17.2
2025-09-23,tomato,Bangalore,14.3
2025-09-24,tomato,Bangalore,22.9
2025-09-25,tomato,Bangalore,13.7
2025-09-26,tomato,Bangalore,16.7
2025-09-27,tomato,Bangalore,18.4
2025-09-28,tomato,Bangalore,22.3
2025-09-29,tomato,Bangalore,13.7
2025-09-30,tomato,Bangalore,21.5
2025-10-01,tomato,Bangalore,18.0
2025-10-02,tomato,Bangalore,15.1
2025-10-03,tomato,Bangalore,19.4
2025-10-04,tomato,Bangalore,18.6
2025-10-05,tomato,Bangalore,16.2
2025-10-06,tomato,Bangalore,18.2
2025-10-07,tomato,Bangalore,16.8
2025-10-08,tomato,Bangalore,18.3
2025-10-09,tomato,Bangalore,20.0
2025-10-10,tomato,Bangalore,22.8
2025-10-11,tomato,Bangalore,14.3
2025-10-12,tomato,Bangalore,24.4
2025-10-13,tomato,Bangalore,12.1
2025-10-14,tomato,Bangalore,17.5
2025-10-15,tomato,Bangalore,19.8
2025-10-16,tomato,Bangalore,18.8
2025-10-17,tomato,Bangalore,16.1
2025-10-18,tomato,Bangalore,17.4
2025-10-19,tomato,Bangalore,16.5
2025-10-20,tomato,Bangalore,16.2
2025-10-21,tomato,Bangalore,20.5
2025-10-22,tomato,Bangalore,19.1
2025-10-23,tomato,Bangalore,15.9
2025-10-24,tomato,Bangalore,20.7
2025-10-25,tomato,Bangalore,18.9
2025-10-26,tomato,Bangalore,20.4
2025-10-27,tomato,Bangalore,19.9
2025-10-28,tomato,Bangalore,15.5
2025-10-29,tomato,Bangalore,16.3
2025-10-30,tomato,Bangalore,20.2
2025-10-31,tomato,Bangalore,19.8
2025-11-01,tomato,Bangalore,17.9
2025-11-02,tomato,Bangalore,18.4
2025-11-03,tomato,Bangalore,21.8
2025-11-04,tomato,Bangalore,16.2
2025-11-05,tomato,Bangalore,19.6
2025-11-06,tomato,Bangalore,17.4
2025-11-07,tomato,Bangalore,17.3
2025-11-08,tomato,Bangalore,21.3
2025-11-09,tomato,Bangalore,20.5
2025-11-10,tomato,Bangalore,20.4
2025-11-11,tomato,Bangalore,21.9
2025-11-12,tomato,Bangalore,18.1
2025-11-13,tomato,Bangalore,20.0
2025-11-14,tomato,Bangalore,17.1
2025-11-15,tomato,Bangalore,19.0
2025-11-16,tomato,Bangalore,17.6
2025-11-17,tomato,Bangalore,18.3
2025-11-18,tomato,Bangalore,19.8
2025-11-19,tomato,Bangalore,15.5
2025-11-20,tomato,Bangalore,24.3
2025-11-21,tomato,Bangalore,15.0
2025-11-22,tomato,Bangalore,14.4
2025-11-23,tomato,Bangalore,21.5
2025-11-24,tomato,Bangalore,20.4
2025-11-25,tomato,Bangalore,19.9
2025-11-26,tomato,Bangalore,19.9
2025-11-27,tomato,Bangalore,18.0
2025-11-28,tomato,Bangalore,15.3
2025-11-29,tomato,Bangalore,18.2
2025-11-30,tomato,Bangalore,16.0
2025-12-01,tomato,Bangalore,20.9
2025-12-02,tomato,Bangalore,17.6
2025-12-03,tomato,Bangalore,15.5
2025-12-04,tomato,Bangalore,17.0
2025-12-05,tomato,Bangalore,19.2
2025-12-06,tomato,Bangalore,16.3
2025-12-07,tomato,Bangalore,15.5
2025-12-08,tomato,Bangalore,18.7
2025-12-09,tomato,Bangalore,18.7
2025-12-10,tomato,Bangalore,16.5
2025-12-11,tomato,Bangalore,16.6
2025-12-12,tomato,Bangalore,18.7
2025-12-13,tomato,Bangalore,13.7
2025-12-14,tomato,Bangalore,13.8
2025-12-15,tomato,Bangalore,15.8
2025-12-16,tomato,Bangalore,17.4
2025-12-17,tomato,Bangalore,18.9
2025-12-18,tomato,Bangalore,22.4
2025-12-19,tomato,Bangalore,20.6
2025-12-20,tomato,Bangalore,17.5
2025-12-21,tomato,Bangalore,17.9
2025-12-22,tomato,Bangalore,15.0
2025-12-23,tomato,Bangalore,17.9
2025-12-24,tomato,Bangalore,17.1
2025-12-25,tomato,Bangalore,19.0
2025-12-26,tomato,Bangalore,15.5
2025-12-27,tomato,Bangalore,19.6
2025-12-28,tomato,Bangalore,22.6
2025-12-29,tomato,Bangalore,17.7
2025-12-30,tomato,Bangalore,19.2
2025-12-31,tomato,Bangalore,20.1
2025-01-01,tomato,Chennai,16.8
2025-01-02,tomato,Chennai,18.7
2025-01-03,tomato,Chennai,18.0
2025-01-04,tomato,Chennai,18.3
2025-01-05,tomato,Chennai,15.7
2025-01-06,tomato,Chennai,18.1
2025-01-07,tomato,Chennai,19.5
2025-01-08,tomato,Chennai,22.4
2025-01-09,tomato,Chennai,20.9
2025-01-10,tomato,Chennai,24.5
2025-01-11,tomato,Chennai,15.7
2025-01-12,tomato,Chennai,20.6
2025-01-13,tomato,Chennai,18.6
2025-01-14,tomato,Chennai,24.6
2025-01-15,tomato,Chennai,15.6
2025-01-16,tomato,Chennai,15.5
2025-01-17,tomato,Chennai,16.2
2025-01-18,tomato,Chennai,11.6
2025-01-19,tomato,Chennai,16.4
2025-01-20,tomato,Chennai,15.7
2025-01-21,tomato,Chennai,18.5
2025-01-22,tomato,Chennai,19.0
2025-01-23,tomato,Chennai,23.6
2025-01-24,tomato,Chennai,20.9
2025-01-25,tomato,Chennai,16.3
2025-01-26,tomato,Chennai,15.3
2025-01-27,tomato,Chennai,19.5
2025-01-28,tomato,Chennai,14.0
2025-01-29,tomato,Chennai,23.5
2025-01-30,tomato,Chennai,21.5
2025-01-31,tomato,Chennai,16.6
2025-02-01,tomato,Chennai,12.9
2025-02-02,tomato,Chennai,22.1
2025-02-03,tomato,Chennai,17.7
2025-02-04,tomato,Chennai,21.7
2025-02-05,tomato,Chennai,13.2
2025-02-06,tomato,Chennai,16.2
2025-02-07,tomato,Chennai,18.0
2025-02-08,tomato,Chennai,18.1
2025-02-09,tomato,Chennai,16.6
2025-02-10,tomato,Chennai,19.9
2025-02-11,tomato,Chennai,14.8
2025-02-12,tomato,Chennai,17.6
2025-02-13,tomato,Chennai,18.4
2025-02-14,tomato,Chennai,19.5
2025-02-15,tomato,Chennai,20.1
2025-02-16,tomato,Chennai,14.6
2025-02-17,tomato,Chennai,13.4
2025-02-18,tomato,Chennai,21.8
2025-02-19,tomato,Chennai,19.0
2025-02-20,tomato,Chennai,15.8
2025-02-21,tomato,Chennai,22.7
2025-02-22,tomato,Chennai,18.3
2025-02-23,tomato,Chennai,21.5
2025-02-24,tomato,Chennai,18.2
2025-02-25,tomato,Chennai,24.2
2025-02-26,tomato,Chennai,23.3
2025-02-27,tomato,Chennai,17.3
2025-02-28,tomato,Chennai,20.9
2025-03-01,tomato,Chennai,19.9
2025-03-02,tomato,Chennai,22.1
2025-03-03,tomato,Chennai,15.1
2025-03-04,tomato,Chennai,20.1
2025-03-05,tomato,Chennai,21.2
2025-03-06,tomato,Chennai,12.7
2025-03-07,tomato,Chennai,14.5
2025-03-08,tomato,Chennai,11.9
2025-03-09,tomato,Chennai,17.2
2025-03-10,tomato,Chennai,20.2
2025-03-11,tomato,Chennai,22.5
2025-03-12,tomato,Chennai,18.2
2025-03-13,tomato,Chennai,22.9
2025-03-14,tomato,Chennai,13.9
2025-03-15,tomato,Chennai,12.9
2025-03-16,tomato,Chennai,17.8
2025-03-17,tomato,Chennai,19.2
2025-03-18,tomato,Chennai,17.9
2025-03-19,tomato,Chennai,11.8
2025-03-20,tomato,Chennai,17.7
2025-03-21,tomato,Chennai,14.1
2025-03-22,tomato,Chennai,20.0
2025-03-23,tomato,Chennai,19.1
2025-03-24,tomato,Chennai,15.2
2025-03-25,tomato,Chennai,16.5
2025-03-26,tomato,Chennai,14.8
2025-03-27,tomato,Chennai,17.8
2025-03-28,tomato,Chennai,20.9
2025-03-29,tomato,Chennai,15.0
2025-03-30,tomato,Chennai,19.5
2025-03-31,tomato,Chennai,16.4
2025-04-01,tomato,Chennai,15.6
2025-04-02,tomato,Chennai,17.7
2025-04-03,tomato,Chennai,14.9
2025-04-04,tomato,Chennai,16.3
2025-04-05,tomato,Chennai,14.4
2025-04-06,tomato,Chennai,23.9
2025-04-07,tomato,Chennai,18.1
2025-04-08,tomato,Chennai,15.9
2025-04-09,tomato,Chennai,18.6
2025-04-10,tomato,Chennai,17.7
2025-04-11,tomato,Chennai,17.3
2025-04-12,tomato,Chennai,19.8
2025-04-13,tomato,Chennai,20.3
2025-04-14,tomato,Chennai,16.4
2025-04-15,tomato,Chennai,16.3
2025-04-16,tomato,Chennai,17.2
2025-04-17,tomato,Chennai,11.1
2025-04-18,tomato,Chennai,13.5
2025-04-19,tomato,Chennai,22.1
2025-04-20,tomato,Chennai,22.9
2025-04-21,tomato,Chennai,17.3
2025-04-22,tomato,Chennai,19.7
2025-04-23,tomato,Chennai,18.9
2025-04-24,tomato,Chennai,27.2
2025-04-25,tomato,Chennai,21.4
2025-04-26,tomato,Chennai,17.6
2025-04-27,tomato,Chennai,15.1
2025-04-28,tomato,Chennai,13.2
2025-04-29,tomato,Chennai,18.6
2025-04-30,tomato,Chennai,15.7
2025-05-01,tomato,Chennai,13.7
2025-05-02,tomato,Chennai,16.1
2025-05-03,tomato,Chennai,14.8
2025-05-04,tomato,Chennai,23.1
2025-05-05,tomato,Chennai,20.6
2025-05-06,tomato,Chennai,18.0
2025-05-07,tomato,Chennai,22.4
2025-05-08,tomato,Chennai,18.2
2025-05-09,tomato,Chennai,15.4
2025-05-10,tomato,Chennai,22.6
2025-05-11,tomato,Chennai,19.6
2025-05-12,tomato,Chennai,14.9
2025-05-13,tomato,Chennai,17.4
2025-05-14,tomato,Chennai,15.4
2025-05-15,tomato,Chennai,13.9
2025-05-16,tomato,Chennai,20.8
2025-05-17,tomato,Chennai,23.7
2025-05-18,tomato,Chennai,13.8
2025-05-19,tomato,Chennai,19.7
2025-05-20,tomato,Chennai,16.0
2025-05-21,tomato,Chennai,16.5
2025-05-22,tomato,Chennai,16.2
2025-05-23,tomato,Chennai,15.4
2025-05-24,tomato,Chennai,18.1
2025-05-25,tomato,Chennai,15.5
2025-05-26,tomato,Chennai,18.8
2025-05-27,tomato,Chennai,17.8
2025-05-28,tomato,Chennai,17.3
2025-05-29,tomato,Chennai,15.3
2025-05-30,tomato,Chennai,16.3
2025-05-31,tomato,Chennai,20.3
2025-06-01,tomato,Chennai,23.1
2025-06-02,tomato,Chennai,18.7
2025-06-03,tomato,Chennai,21.9
2025-06-04,tomato,Chennai,23.9
2025-06-05,tomato,Chennai,16.6
2025-06-06,tomato,Chennai,23.2
2025-06-07,tomato,Chennai,19.6
2025-06-08,tomato,Chennai,23.3
2025-06-09,tomato,Chennai,19.3
2025-06-10,tomato,Chennai,16.2
2025-06-11,tomato,Chennai,16.7
2025-06-12,tomato,Chennai,21.7
2025-06-13,tomato,Chennai,22.4
2025-06-14,tomato,Chennai,18.9
2025-06-15,tomato,Chennai,23.5
2025-06-16,tomato,Chennai,16.6
2025-06-17,tomato,Chennai,21.4
2025-06-18,tomato,Chennai,18.0
2025-06-19,tomato,Chennai,19.6
2025-06-20,tomato,Chennai,21.7
2025-06-21,tomato,Chennai,19.0
2025-06-22,tomato,Chennai,20.4
2025-06-23,tomato,Chennai,24.6
2025-06-24,tomato,Chennai,19.9
2025-06-25,tomato,Chennai,24.1
2025-06-26,tomato,Chennai,18.2
2025-06-27,tomato,Chennai,23.2
2025-06-28,tomato,Chennai,25.9
2025-06-29,tomato,Chennai,14.2
2025-06-30,tomato,Chennai,19.2
2025-07-01,tomato,Chennai,23.3
2025-07-02,tomato,Chennai,21.0
2025-07-03,tomato,Chennai,22.7
2025-07-04,tomato,Chennai,19.8
2025-07-05,tomato,Chennai,21.9
2025-07-06,tomato,Chennai,21.1
2025-07-07,tomato,Chennai,25.1
2025-07-08,tomato,Chennai,22.4
2025-07-09,tomato,Chennai,22.6
2025-07-10,tomato,Chennai,20.4
2025-07-11,tomato,Chennai,20.1
2025-07-12,tomato,Chennai,20.3
2025-07-13,tomato,Chennai,22.8
2025-07-14,tomato,Chennai,20.3
2025-07-15,tomato,Chennai,22.5
2025-07-16,tomato,Chennai,27.8
2025-07-17,tomato,Chennai,24.2
2025-07-18,tomato,Chennai,20.6
2025-07-19,tomato,Chennai,25.2
2025-07-20,tomato,Chennai,20.4
2025-07-21,tomato,Chennai,15.5
2025-07-22,tomato,Chennai,18.6
2025-07-23,tomato,Chennai,16.0
2025-07-24,tomato,Chennai,20.5
2025-07-25,tomato,Chennai,21.7
2025-07-26,tomato,Chennai,26.6
2025-07-27,tomato,Chennai,22.6
2025-07-28,tomato,Chennai,20.9
2025-07-29,tomato,Chennai,24.1
2025-07-30,tomato,Chennai,15.0
2025-07-31,tomato,Chennai,22.3
2025-08-01,tomato,Chennai,23.9
2025-08-02,tomato,Chennai,17.2
2025-08-03,tomato,Chennai,25.0
2025-08-04,tomato,Chennai,22.6
2025-08-05,tomato,Chennai,20.4
2025-08-06,tomato,Chennai,23.5
2025-08-07,tomato,Chennai,28.4
2025-08-08,tomato,Chennai,22.1
2025-08-09,tomato,Chennai,22.3
2025-08-10,tomato,Chennai,20.2
2025-08-11,tomato,Chennai,19.1
2025-08-12,tomato,Chennai,24.1
2025-08-13,tomato,Chennai,19.0
2025-08-14,tomato,Chennai,21.8
2025-08-15,tomato,Chennai,20.2
2025-08-16,tomato,Chennai,23.0
2025-08-17,tomato,Chennai,22.6
2025-08-18,tomato,Chennai,24.7
2025-08-19,tomato,Chennai,20.1
2025-08-20,tomato,Chennai,20.8
2025-08-21,tomato,Chennai,18.7
2025-08-22,tomato,Chennai,20.3
2025-08-23,tomato,Chennai,22.7
2025-08-24,tomato,Chennai,23.9
2025-08-25,tomato,Chennai,18.8
2025-08-26,tomato,Chennai,24.2
2025-08-27,tomato,Chennai,25.7
2025-08-28,tomato,Chennai,22.8
2025-08-29,tomato,Chennai,27.2
2025-08-30,tomato,Chennai,19.3
2025-08-31,tomato,Chennai,17.9
2025-09-01,tomato,Chennai,12.7
2025-09-02,tomato,Chennai,22.5
2025-09-03,tomato,Chennai,20.0
2025-09-04,tomato,Chennai,17.8
2025-09-05,tomato,Chennai,18.8
2025-09-06,tomato,Chennai,14.6
2025-09-07,tomato,Chennai,25.3
2025-09-08,tomato,Chennai,18.4
2025-09-09,tomato,Chennai,18.3
2025-09-10,tomato,Chennai,20.2
2025-09-11,tomato,Chennai,19.4
2025-09-12,tomato,Chennai,18.7
2025-09-13,tomato,Chennai,15.6
2025-09-14,tomato,Chennai,19.4
2025-09-15,tomato,Chennai,23.6
2025-09-16,tomato,Chennai,22.0
2025-09-17,tomato,Chennai,22.8
2025-09-18,tomato,Chennai,16.5
2025-09-19,tomato,Chennai,15.0
2025-09-20,tomato,Chennai,17.6
2025-09-21,tomato,Chennai,18.2
2025-09-22,tomato,Chennai,21.3
2025-09-23,tomato,Chennai,12.9
2025-09-24,tomato,Chennai,22.6
2025-09-25,tomato,Chennai,17.5
2025-09-26,tomato,Chennai,16.7
2025-09-27,tomato,Chennai,15.0
2025-09-28,tomato,Chennai,13.0
2025-09-29,tomato,Chennai,20.5
2025-09-30,tomato,Chennai,18.2
2025-10-01,tomato,Chennai,14.1
2025-10-02,tomato,Chennai,14.1
2025-10-03,tomato,Chennai,17.0
2025-10-04,tomato,Chennai,23.0
2025-10-05,tomato,Chennai,17.2
2025-10-06,tomato,Chennai,13.5
2025-10-07,tomato,Chennai,17.3
2025-10-08,tomato,Chennai,17.2
2025-10-09,tomato,Chennai,9.9
2025-10-10,tomato,Chennai,17.8
2025-10-11,tomato,Chennai,17.3
2025-10-12,tomato,Chennai,20.1
2025-10-13,tomato,Chennai,23.5
2025-10-14,tomato,Chennai,21.4
2025-10-15,tomato,Chennai,17.2
2025-10-16,tomato,Chennai,14.7
2025-10-17,tomato,Chennai,25.7
2025-10-18,tomato,Chennai,18.2
2025-10-19,tomato,Chennai,18.0
2025-10-20,tomato,Chennai,17.9
2025-10-21,tomato,Chennai,18.6
2025-10-22,tomato,Chennai,17.6
2025-10-23,tomato,Chennai,16.3
2025-10-24,tomato,Chennai,16.4
2025-10-25,tomato,Chennai,17.9
2025-10-26,tomato,Chennai,16.4
2025-10-27,tomato,Chennai,15.9
2025-10-28,tomato,Chennai,18.3
2025-10-29,tomato,Chennai,17.2
2025-10-30,tomato,Chennai,22.5
2025-10-31,tomato,Chennai,10.0
2025-11-01,tomato,Chennai,21.3
2025-11-02,tomato,Chennai,21.7
2025-11-03,tomato,Chennai,11.8
2025-11-04,tomato,Chennai,17.0
2025-11-05,tomato,Chennai,16.9
2025-11-06,tomato,Chennai,13.8
2025-11-07,tomato,Chennai,15.7
2025-11-08,tomato,Chennai,14.7
2025-11-09,tomato,Chennai,23.3
2025-11-10,tomato,Chennai,20.8
2025-11-11,tomato,Chennai,21.8
